source_file,Date,Pitcher,PitcherTeam,PitcherThrows,Batter,BatterTeam,AutoPitchType,TaggedPitchType,PitchCall,RelSpeed,SpinRate,InducedVertBreak,HorzBreak,Extension,RelHeight,RelSide,PlateLocSide,PlateLocHeight,VertApprAngle,HorzApprAngle,ZoneSpeed,ExitSpeed,Angle,Distance,Swing,Whiff,CalledStrike,CSW,Strike,InZone,Chase,HardHitAllowed,SweetSpotAllowed,QualityContactAllowed
synthetic_game_01.csv,2026-06-15,Jake Monroe,OAK_COL,Right,Hitter 6,OPP,Four-Seam,Four-Seam,FoulBall,88.6,2276.0,17.4,-4.9,6.56,5.45,-2.58,0.21,1.95,-5.05,1.9,81.2,,,,True,False,False,False,True,True,False,False,False,False
synthetic_game_01.csv,2026-06-15,Jake Monroe,OAK_COL,Right,Hitter 3,OPP,Four-Seam,Four-Seam,BallCalled,90.6,2152.0,20.9,-3.3,6.4,5.78,-1.82,-0.3,2.94,-5.17,-0.34,82.8,,,,False,False,False,False,False,True,False,False,False,False
synthetic_game_01.csv,2026-06-15,Jake Monroe,OAK_COL,Right,Hitter 5,OPP,Four-Seam,Four-Seam,StrikeCalled,92.2,2404.0,19.4,-8.3,6.12,5.52,-1.78,0.32,3.26,-5.99,-0.92,84.6,,,,False,False,True,True,True,True,False,False,False,False
synthetic_game_01.csv,2026-06-15,Jake Monroe,OAK_COL,Right,Hitter 14,OPP,Four-Seam,Four-Seam,BallCalled,91.4,2295.0,19.7,-5.5,6.2,5.58,-1.41,0.06,2.89,-4.76,-1.36,82.6,,,,False,False,False,False,False,True,False,False,False,False
synthetic_game_01.csv,2026-06-15,Jake Monroe,OAK_COL,Right,Hitter 10,OPP,Four-Seam,Four-Seam,BallCalled,93.6,2517.0,17.1,-7.2,5.74,5.72,-1.81,0.58,2.73,-4.63,-0.33,86.6,,,,False,False,False,False,False,True,False,False,False,False
synthetic_game_01.csv,2026-06-15,Jake Monroe,OAK_COL,Right,Hitter 1,OPP,Four-Seam,Four-Seam,BallCalled,92.3,2454.0,14.2,-6.8,6.05,5.68,-1.39,-0.28,1.82,-6.12,-0.19,84.9,,,,False,False,False,False,False,True,False,False,False,False
synthetic_game_01.csv,2026-06-15,Jake Monroe,OAK_COL,Right,Hitter 1,OPP,Four-Seam,Four-Seam,StrikeSwinging,91.4,2467.0,17.7,-5.0,5.74,5.84,-1.8,-0.44,2.59,-4.61,-1.75,85.2,,,,True,True,False,True,True,True,False,False,False,False
synthetic_game_01.csv,2026-06-15,Jake Monroe,OAK_COL,Right,Hitter 5,OPP,Four-Seam,Four-Seam,BallCalled,90.4,2453.0,14.2,-5.4,6.24,5.89,-1.47,1.18,3.0,-4.98,-0.42,84.0,,,,False,False,False,False,False,False,False,False,False,False
synthetic_game_01.csv,2026-06-15,Jake Monroe,OAK_COL,Right,Hitter 9,OPP,Four-Seam,Four-Seam,StrikeCalled,92.0,2490.0,20.1,-7.4,6.79,5.74,-1.35,0.0,3.01,-5.96,-0.75,84.8,,,,False,False,True,True,True,True,False,False,False,False
synthetic_game_01.csv,2026-06-15,Jake Monroe,OAK_COL,Right,Hitter 16,OPP,Four-Seam,Four-Seam,StrikeCalled,91.4,2093.0,13.6,-12.4,5.54,5.21,-1.56,1.13,1.31,-4.6,-0.86,84.7,,,,False,False,True,True,True,False,False,False,False,False
synthetic_game_01.csv,2026-06-15,Jake Monroe,OAK_COL,Right,Hitter 11,OPP,Four-Seam,Four-Seam,BallCalled,89.1,2214.0,17.5,-3.9,5.95,5.87,-1.77,-0.65,1.83,-5.28,1.01,80.6,,,,False,False,False,False,False,True,False,False,False,False
synthetic_game_01.csv,2026-06-15,Jake Monroe,OAK_COL,Right,Hitter 7,OPP,Four-Seam,Four-Seam,StrikeCalled,91.8,1944.0,17.7,-8.7,6.16,5.85,-1.67,1.27,2.66,-5.98,1.72,84.0,,,,False,False,True,True,True,False,False,False,False,False
